CodigoAbastecimento;CodigoPostoAbastecimento;CodigoFerrovia;DataReferencia;LitrosManobra;LitrosViagem;LitrosOutro
512;93;1;01/03/2011 00:00:00;0;26000;0
513;46;1;01/03/2011 00:00:00;0;2364172;0
514;47;1;01/03/2011 00:00:00;0;476792;0
515;90;1;01/03/2011 00:00:00;0;60000;0
516;95;1;01/03/2011 00:00:00;0;2200;0
517;54;1;01/03/2011 00:00:00;0;58334;0
518;49;1;01/03/2011 00:00:00;0;169947;0
519;51;1;01/03/2011 00:00:00;0;388410;0
520;92;1;01/03/2011 00:00:00;0;42212;0
521;50;1;01/03/2011 00:00:00;0;575138;0
522;52;1;01/03/2011 00:00:00;0;645939;0
523;88;1;01/03/2011 00:00:00;0;257940;0
524;53;1;01/03/2011 00:00:00;0;1057312;0
525;55;1;01/03/2011 00:00:00;0;46239;0
526;43;1;01/03/2011 00:00:00;0;266800;0
527;44;1;01/03/2011 00:00:00;0;69530;0
528;96;1;01/03/2011 00:00:00;0;0;0
529;62;7;01/03/2011 00:00:00;0;1803526;0
530;58;9;01/03/2011 00:00:00;0;239537;0
531;61;9;01/03/2011 00:00:00;0;38600;0
532;60;9;01/03/2011 00:00:00;0;85230;0
533;86;9;01/03/2011 00:00:00;0;133760;0
534;59;9;01/03/2011 00:00:00;0;83100;0
535;56;5;01/03/2011 00:00:00;0;2334768;0
536;57;5;01/03/2011 00:00:00;0;91549;0
537;84;5;01/03/2011 00:00:00;0;986017;0
538;85;5;01/03/2011 00:00:00;0;7200;0
539;36;12;01/11/2010 00:00:00;0;0;1960
540;20;8;01/11/2010 00:00:00;0;205742;541
541;21;8;01/11/2010 00:00:00;0;320638;1317
542;22;8;01/11/2010 00:00:00;0;3458;0
543;30;8;01/11/2010 00:00:00;0;6080;1055
544;23;8;01/11/2010 00:00:00;0;380038;1880
545;25;8;01/11/2010 00:00:00;0;2057694;0
546;24;8;01/11/2010 00:00:00;0;1260287;2372
547;19;8;01/11/2010 00:00:00;0;244781;1693
548;26;8;01/11/2010 00:00:00;0;1543200;1508
549;27;8;01/11/2010 00:00:00;0;228570;1858
550;33;8;01/11/2010 00:00:00;0;1770736;59
551;31;8;01/11/2010 00:00:00;0;294718;2722
552;34;8;01/11/2010 00:00:00;0;340816;185
553;28;8;01/11/2010 00:00:00;0;361197;665
554;35;8;01/11/2010 00:00:00;0;1219510;1668
555;32;8;01/11/2010 00:00:00;0;32936;462
556;29;8;01/11/2010 00:00:00;0;564658;695
557;36;12;01/04/2011 00:00:00;5;1091;0
558;2;3;01/04/2011 00:00:00;12364;1533167;36953
559;3;3;01/04/2011 00:00:00;12006;1488742;6864
560;8;3;01/04/2011 00:00:00;0;0;0
561;10;3;01/04/2011 00:00:00;0;0;0
562;1;3;01/04/2011 00:00:00;111090;13775160;15384
563;7;3;01/04/2011 00:00:00;0;0;0
564;82;2;01/04/2011 00:00:00;0;26803;0
565;73;2;01/04/2011 00:00:00;0;9260;0
566;79;2;01/04/2011 00:00:00;0;45522;0
567;75;2;01/04/2011 00:00:00;0;24647;0
568;80;2;01/04/2011 00:00:00;0;81497;0
569;76;2;01/04/2011 00:00:00;0;16016;0
570;77;2;01/04/2011 00:00:00;0;145104;0
571;78;2;01/04/2011 00:00:00;0;221742;0
572;74;2;01/04/2011 00:00:00;0;17607;0
573;81;2;01/04/2011 00:00:00;0;325841;0
574;20;8;01/04/2011 00:00:00;561;180282;2601
575;21;8;01/04/2011 00:00:00;4751;1527882;774
576;22;8;01/04/2011 00:00:00;0;0;0
577;30;8;01/04/2011 00:00:00;10;3090;538
578;23;8;01/04/2011 00:00:00;641;206153;1657
579;25;8;01/04/2011 00:00:00;8147;2620020;9968
580;24;8;01/04/2011 00:00:00;3681;1183775;2097
581;19;8;01/04/2011 00:00:00;786;252704;6349
582;26;8;01/04/2011 00:00:00;427;137248;1470
583;27;8;01/04/2011 00:00:00;1011;325278;1858
584;33;8;01/04/2011 00:00:00;4591;1476451;44
585;31;8;01/04/2011 00:00:00;935;300838;2467
586;34;8;01/04/2011 00:00:00;426;137088;42
587;28;8;01/04/2011 00:00:00;1091;350868;1985
588;35;8;01/04/2011 00:00:00;2793;898038;570
589;32;8;01/04/2011 00:00:00;35;11296;162
590;29;8;01/04/2011 00:00:00;2499;803475;416
591;72;10;01/04/2011 00:00:00;4891;83580;851
592;11;4;01/04/2011 00:00:00;248850;13327675;56280
593;12;4;01/04/2011 00:00:00;0;0;30857
594;13;4;01/04/2011 00:00:00;0;0;0
595;17;4;01/04/2011 00:00:00;0;0;0
596;14;4;01/04/2011 00:00:00;83729;4491646;19497
597;18;4;01/04/2011 00:00:00;6509;349147;10735
598;16;4;01/04/2011 00:00:00;2186;119449;0
599;71;6;01/04/2011 00:00:00;4351;15730;189
600;83;6;01/04/2011 00:00:00;0;125497;1804
608;56;5;01/04/2011 00:00:00;0;2047355;0
609;57;5;01/04/2011 00:00:00;0;162723;0
610;84;5;01/04/2011 00:00:00;0;1359047;0
611;85;5;01/04/2011 00:00:00;0;154067;0
612;62;7;01/04/2011 00:00:00;0;1402500;0
613;58;9;01/04/2011 00:00:00;0;234360;0
614;61;9;01/04/2011 00:00:00;0;67000;0
615;60;9;01/04/2011 00:00:00;0;71080;0
616;86;9;01/04/2011 00:00:00;0;139820;0
617;59;9;01/04/2011 00:00:00;0;91200;0
618;37;1;01/04/2011 00:00:00;0;109511;0
619;87;1;01/04/2011 00:00:00;0;112768;0
620;89;1;01/04/2011 00:00:00;0;46655;0
621;45;1;01/04/2011 00:00:00;0;24101;0
622;38;1;01/04/2011 00:00:00;0;401161;0
623;48;1;01/04/2011 00:00:00;0;288085;0
624;39;1;01/04/2011 00:00:00;0;5293687;0
625;40;1;01/04/2011 00:00:00;0;51632;0
626;91;1;01/04/2011 00:00:00;0;50000;0
627;42;1;01/04/2011 00:00:00;0;123571;0
628;94;1;01/04/2011 00:00:00;0;12000;0
629;41;1;01/04/2011 00:00:00;0;72400;0
630;93;1;01/04/2011 00:00:00;0;15833;0
631;46;1;01/04/2011 00:00:00;0;2347665;0
632;47;1;01/04/2011 00:00:00;0;479084;0
633;90;1;01/04/2011 00:00:00;0;65000;0
634;95;1;01/04/2011 00:00:00;0;1200;0
635;54;1;01/04/2011 00:00:00;0;62473;0
636;49;1;01/04/2011 00:00:00;0;156281;0
637;51;1;01/04/2011 00:00:00;0;410200;0
638;92;1;01/04/2011 00:00:00;0;43000;0
639;50;1;01/04/2011 00:00:00;0;652487;0
640;52;1;01/04/2011 00:00:00;0;759664;0
641;88;1;01/04/2011 00:00:00;0;114205;0
642;53;1;01/04/2011 00:00:00;0;1124012;0
643;55;1;01/04/2011 00:00:00;0;74218;0
644;43;1;01/04/2011 00:00:00;0;243100;0
645;44;1;01/04/2011 00:00:00;0;88500;0
646;82;2;01/05/2011 00:00:00;0;59046;0
647;73;2;01/05/2011 00:00:00;0;7789;0
648;79;2;01/05/2011 00:00:00;0;59130;0
649;75;2;01/05/2011 00:00:00;0;20093;0
650;80;2;01/05/2011 00:00:00;0;86877;0
651;76;2;01/05/2011 00:00:00;0;17782;0
652;77;2;01/05/2011 00:00:00;0;115546;0
653;78;2;01/05/2011 00:00:00;0;312839;0
654;74;2;01/05/2011 00:00:00;0;27526;0
655;81;2;01/05/2011 00:00:00;0;291988;0
663;11;4;01/05/2011 00:00:00;303685;14157496;0
664;12;4;01/05/2011 00:00:00;0;0;26398
665;13;4;01/05/2011 00:00:00;0;0;0
666;17;4;01/05/2011 00:00:00;158;7342;0
667;14;4;01/05/2011 00:00:00;102152;4714601;0
668;18;4;01/05/2011 00:00:00;7354;342834;0
669;16;4;01/05/2011 00:00:00;3811;177660;0
670;36;12;01/05/2011 00:00:00;9;1866;0
