CodigoAbastecimentoFerrovia;CodigoAbastecimento;CodigoFerrovia;Litros
3244;10759;11;0
3245;10759;5;0
3246;10759;1;0
3247;10766;4;0
3248;10766;11;0
3249;10777;12;0
3250;10806;5;1042468
3251;10807;7;195261
3252;10808;7;5155240
3253;10809;7;3136719
3254;10810;7;780224
3255;10814;9;20425
3256;10818;9;65364
3257;10839;9;0
3258;10839;5;0
3259;10840;1;500
3260;10841;1;3000
3261;10842;1;32069
3262;10843;1;925051
3263;10844;5;0
3264;10844;1;0
3265;10867;4;0
3266;10874;4;0
3267;10874;11;0
3268;10874;5;0
3269;10874;1;0
3270;10881;4;0
3271;10881;11;0
3272;10890;12;0
3273;10904;5;1351824
3274;10905;7;180061
3275;10906;7;5929778
3276;10907;7;3535528
3277;10908;7;555145
3278;10912;9;23100
3279;10915;9;54240
3280;10936;9;0
3281;10936;5;0
3282;10938;1;3000
3283;10939;1;14000
3284;10940;1;30779
3285;10941;1;989542
3286;10942;5;0
3287;10942;1;0
3288;10963;4;0
3289;10970;4;0
3290;10970;11;0
3291;10970;5;0
3292;10970;1;0
3293;10977;4;0
3294;10977;11;0
3295;10986;12;0
3296;11015;4;0
3297;11022;4;0
3298;11022;11;0
3299;11022;5;0
3300;11022;1;0
3301;11029;4;0
3302;11029;11;0
3303;11030;1;4500
3304;11031;1;12500
3305;11032;1;16510
3306;11033;1;1057863
3307;11034;5;0
3308;11034;1;0
3309;11038;9;7500
3310;11041;9;25579
3311;11060;9;0
3312;11060;5;0
3313;11064;7;175747
3314;11065;7;5821121
3315;11066;7;3508777
3316;11067;7;766365
3317;11068;5;1573475
3318;11086;12;0
3319;11106;5;1398843
3320;11107;7;111907
3321;11108;7;6325036
3322;11109;7;3588931
3323;11110;7;596487
3324;11112;1;5000
3325;11113;1;36511
3326;11114;1;963144
3327;11115;5;0
3328;11115;1;0
3329;11119;9;7538
3330;11123;9;75887
3331;11142;9;0
3332;11142;5;0
3333;11163;4;0
3334;11170;4;0
3335;11170;11;0
3336;11170;5;0
3337;11170;1;0
3338;11177;4;0
3339;11177;11;0
3340;11179;12;0
3341;11206;5;1164199
3342;11208;1;3000
3343;11209;1;54440
3344;11210;1;1029423
